1,0,18144191491712926,181;44;19;149;17;129;26
1,1,415402513119311,41;5;40;25;131;193;11
1,2,6185158103,6;185;158;103
1,3,1351911031129,135;19;110;31;129
1,4,444639,44;46;39
1,5,584733168,58;47;33;168
1,6,71211381841224152168,7;121;138;184;122;41;52;168
1,7,121174149,121;174;149
1,8,1334517519225250,133;45;175;19;22;52;50
1,9,13832120,138;32;120
1,10,14416213653,144;162;136;53
1,11,1171082324272829,117;108;23;24;27;28;29
1,12,21311718235339193,21;31;17;18;23;53;39;193
1,13,133149551871041571314154,133;149;55;187;104;157;13;14;154
1,14,1804455195130,180;44;55;195;130
1,15,134551241601061695334,134;55;124;160;106;169;53;34
1,16,171182304216040194159140,171;182;30;42;160;40;194;159;140
1,17,1231753,123;17;53
1,18,11631133519619116850,1;163;113;35;196;191;168;50
1,19,105926,105;9;26
1,20,127361978,127;36;197;8
1,21,12842184136149119,128;42;184;136;149;119
1,22,171126745223533103,171;126;7;45;22;35;33;103
1,23,17141,17;141
1,24,174756108519715917713,174;7;56;108;5;197;159;177;13
1,25,1254344162537141,125;43;44;16;25;37;141
1,26,164249197,164;24;9;197
1,27,2114854131190,21;148;5;4;131;190
1,28,134153199551761116738,134;153;199;55;176;11;167;38
1,29,17130111,171;30;111
1,30,611047453129192,6;110;47;4;53;129;192
1,31,18011413051221948,180;114;1;30;51;22;194;8
1,32,48314531312850192,48;31;4;53;131;28;50;192
1,33,18113325129167,181;133;25;129;167
1,34,15220184325450,152;20;184;32;54;50
1,35,1711325137188194104155,171;132;5;137;188;194;104;155
2,36,18347914,183;47;9;14
2,37,212713613752,2;127;136;137;52
2,38,1447423218,144;7;42;32;18
2,39,1733850,173;38;50
2,40,181163441051825,181;163;44;105;18;25
2,41,18059424713717615814119,180;59;42;47;137;176;158;14;119
2,42,4355,43;55
2,43,30656106513911141,30;6;56;106;51;39;11;141
2,44,20171,20;171
2,45,11719515,117;195;15
2,46,561941892512,56;194;189;25;12
2,47,161211525917177910038,161;21;152;59;17;177;9;100;38
2,48,1122219425,112;22;194;25
2,49,1637,16;37
2,50,231773729167,23;177;37;29;167
2,51,3144562518913157,3;1;44;56;25;189;13;157
2,52,17017110138149156165168141,170;171;10;138;149;156;165;168;141
2,53,180109124511829,180;109;124;51;18;29
2,54,1344518,134;45;18
2,55,41129,41;129
2,56,116180146175351951539155,116;180;146;175;35;195;15;39;155
2,57,1704219916018628154,170;42;199;160;186;28;154
3,58,012143199194181582629,0;121;43;199;194;18;158;26;29
3,59,133454413622178196,133;45;44;136;22;178;196
3,60,16112744551726142,161;127;44;55;17;26;142
3,61,201055167,20;10;55;167
3,62,31532171739,3;153;2;1;7;17;39
3,63,49135181581751131810411,49;135;181;58;175;113;18;104;11
